gen,cycle_sec,violation,reward
0,7.6589,1.105,-62.9095
1,8.7855,0.5022,-33.8965
2,9.1187,0.1418,-16.2086
3,9.4428,0.043,-11.5938
4,9.2234,0.0075,-9.5968
5,8.7897,0.0028,-8.9305
6,8.3197,0.0008,-8.3605
7,8.0159,0.0,-8.0159
8,7.701,0.0,-7.701
9,7.3875,0.0,-7.3875
10,7.1834,0.0,-7.1834
11,6.9807,0.0,-6.9807
12,6.805,0.0,-6.805
13,6.6337,0.0,-6.6337
14,6.5154,0.0,-6.5154
15,6.4099,0.0,-6.4099
16,6.3621,0.0,-6.3621
17,6.2942,0.0,-6.2942
18,6.2166,0.0,-6.2166
19,6.1572,0.0,-6.1572
20,6.0952,0.0,-6.0952
21,6.0555,0.0,-6.0555
22,6.0282,0.0,-6.0282
23,5.9935,0.0,-5.9935
24,5.96,0.0,-5.96
25,5.9208,0.0,-5.9208
26,5.884,0.0,-5.884
27,5.8538,0.0,-5.8538
28,5.8244,0.0,-5.8244
29,5.7977,0.0,-5.7977
30,5.7892,0.0,-5.7892
31,5.7681,0.0,-5.7681
32,5.7484,0.0,-5.7484
33,5.7312,0.0,-5.7312
34,5.724,0.0,-5.724
35,5.7026,0.0,-5.7026
36,5.6767,0.0,-5.6767
37,5.6776,0.0,-5.6776
38,5.6537,0.0,-5.6537
39,5.6454,0.0,-5.6454
40,5.6172,0.0,-5.6172
41,5.6068,0.0,-5.6068
42,5.5903,0.0,-5.5903
43,5.5845,0.0,-5.5845
44,5.5546,0.0,-5.5546
45,5.5419,0.0,-5.5419
46,5.5389,0.0,-5.5389
47,5.5154,0.0,-5.5154
48,5.5057,0.0,-5.5057
49,5.4939,0.0,-5.4939
50,5.487,0.0,-5.487
51,5.4818,0.0,-5.4818
52,5.4607,0.0,-5.4607
53,5.4544,0.0,-5.4544
54,5.4295,0.0,-5.4295
55,5.4364,0.0,-5.4364
56,5.4227,0.0,-5.4227
57,5.4226,0.0,-5.4226
58,5.4222,0.0,-5.4222
59,5.4311,0.0,-5.4311
60,5.4085,0.0,-5.4085
61,5.4194,0.0,-5.4194
62,5.3905,0.0,-5.3905
63,5.3808,0.0,-5.3808
64,5.3692,0.0,-5.3692
65,5.3714,0.0,-5.3714
66,5.3672,0.0,-5.3672
67,5.3685,0.0,-5.3685
68,5.3657,0.0,-5.3657
69,5.3427,0.0,-5.3427
70,5.3446,0.0,-5.3446
71,5.3574,0.0,-5.3574
72,5.352,0.0,-5.352
73,5.3354,0.0,-5.3354
74,5.3469,0.0,-5.3469
75,5.3228,0.0,-5.3228
76,5.3074,0.0,-5.3074
77,5.3065,0.0,-5.3065
78,5.298,0.0,-5.298
79,5.3139,0.0,-5.3139
80,5.3014,0.0,-5.3014
81,5.3033,0.0,-5.3033
82,5.2921,0.0,-5.2921
83,5.2907,0.0,-5.2907
84,5.2878,0.0,-5.2878
85,5.2828,0.0,-5.2828
86,5.271,0.0,-5.271
87,5.267,0.0,-5.267
88,5.2678,0.0,-5.2678
89,5.2667,0.0,-5.2667
90,5.2533,0.0,-5.2533
91,5.2574,0.0,-5.2574
92,5.2458,0.0,-5.2458
93,5.229,0.0,-5.229
94,5.2424,0.0,-5.2424
95,5.2362,0.0,-5.2362
96,5.2252,0.0,-5.2252
97,5.211,0.0,-5.211
98,5.203,0.0,-5.203
99,5.2032,0.0,-5.2032
100,5.2246,0.0,-5.2246
101,5.2184,0.0,-5.2184
102,5.2057,0.0,-5.2057
103,5.196,0.0,-5.196
104,5.1873,0.0,-5.1873
105,5.2075,0.0,-5.2075
106,5.1993,0.0,-5.1993
107,5.1951,0.0,-5.1951
108,5.1989,0.0,-5.1989
109,5.1909,0.0,-5.1909
110,5.1883,0.0,-5.1883
111,5.1911,0.0,-5.1911
112,5.1787,0.0,-5.1787
113,5.1654,0.0,-5.1654
114,5.1676,0.0,-5.1676
115,5.1829,0.0,-5.1829
116,5.1913,0.0,-5.1913
117,5.1967,0.0,-5.1967
118,5.1696,0.0,-5.1696
119,5.1639,0.0,-5.1639
